#,Ticker,MCap
1,AAPL,$2.067 T
2,MSFT,$1.788 T
3,GOOG,$1.158 T
4,GOOGL,$1.158 T
5,AMZN,$875.51 B
6,TSLA,$388.97 B
7,NVDA,$364.18 B
8,META,$319.89 B
9,PEP,$248.90 B
10,AVGO,$231.29 B
11,ASML,$229.28 B
12,AZN,$217.81 B
13,COST,$201.13 B
14,CSCO,$196.94 B
15,TMUS,$174.18 B
16,VZ,$165.47 B
17,ADBE,$156.63 B
18,CMCSA,$153.78 B
19,TXN,$149.99 B
20,AMGN,$139.61 B
21,NFLX,$135.31 B
22,SNY,$124.09 B
23,QCOM,$123.24 B
24,PDD,$116.34 B
25,SBUX,$113.86 B
26,INTC,$110.31 B
27,INTU,$109.89 B
28,GILD,$107.68 B
29,JD,$106.46 B
30,AMD,$103.22 B
31,ADP,$98.59 B
32,ISRG,$93.87 B
33,MDLZ,$91.76 B
34,ADI,$82.74 B
35,CVLB,$82.27 B
36,AMAT,$81.65 B
37,PYPL,$81.13 B
38,REGN,$79.53 B
39,BKNG,$78.83 B
40,VRTX,$74.13 B
41,MRNA,$68.42 B
42,CSX,$64.92 B
43,FISV,$64.27 B
44,EQIX,$61.31 B
45,CME,$60.78 B
46,LRCX,$58.27 B
47,MU,$54.59 B
48,ABNB,$54.14 B
49,KLAC,$53.36 B
50,MNST,$52.95 B
51,ORLY,$52.82 B
52,CHTR,$52.79 B
53,NTES,$52.09 B
54,KDP,$50.41 B
55,KHC,$49.95 B
56,AEP,$48.72 B
57,SNPS,$48.67 B
58,MAR,$47.13 B
59,CTAS,$45.62 B
60,DXCM,$44.32 B
61,CDNS,$43.79 B
62,BIDU,$43.35 B
63,WDAY,$43.00 B
64,EXC,$42.89 B
65,BNTX,$42.26 B
66,MELI,$42.05 B
67,NXPI,$41.74 B
68,PAYX,$41.66 B
69,LULU,$41.24 B
70,ROST,$40.91 B
71,ADSK,$39.95 B
72,BIIB,$39.26 B
73,XEL,$38.37 B
74,MCHP,$38.01 B
75,FTNT,$37.91 B
76,PCAR,$34.67 B
77,ENPH,$34.43 B
78,EA,$34.13 B
79,IDXX,$33.62 B
80,TEAM,$32.88 B
81,WBA,$32.28 B
82,ODFL,$31.71 B
83,ILMN,$31.60 B
84,DLTR,$31.02 B
85,NDAQ,$30.59 B
86,CSGP,$30.46 B
87,MRVL,$30.45 B
88,SBAC,$30.23 B
89,IBKR,$29.75 B
90,CTSH,$29.60 B
91,CPRT,$29.27 B
92,WLTW,$28.85 B
93,ALNY,$28.74 B
94,GMAB,$28.16 B
95,VOD,$28.00 B
96,VRSK,$27.59 B
97,FAST,$27.15 B
98,ON,$26.89 B
99,HZNP,$25.70 B
100,TSCO,$24.85 B
101,TCOM,$24.58 B
102,BGNE,$24.53 B
103,TROW,$24.37 B
104,CDW,$24.30 B
105,CRWD,$24.21 B
106,FANG,$23.90 B
107,ULTA,$23.87 B
108,SGEN,$23.86 B
109,ACGL,$23.29 B
110,DDOG,$22.89 B
111,EBAY,$22.87 B
112,SIRI,$22.71 B
113,FITB,$22.42 B
114,VRSN,$21.78 B
115,LI,$21.44 B
116,ARGX,$20.96 B
117,TTD,$20.85 B
118,ERIC,$20.83 B
119,ANSS,$20.79 B
120,PFG,$20.77 B
121,HBAN,$20.34 B
122,PODD,$19.88 B
123,BMRN,$19.86 B
124,VIE,$19.79 B
125,ZM,$19.18 B
126,NICE,"$19.12 B                                                (Jan. 1, 2022)"
127,WMG,$19.11 B
128,NTRS,$19.07 B
129,HOLX,$19.07 B
130,GRMN,$18.27 B
131,NUAN,"$17.88 B                                                (March 1, 2022)"
132,IEP,$17.87 B
133,INCY,$17.83 B
134,TTWO,$17.78 B
135,JBHT,$17.55 B
136,LPLA,$17.51 B
137,STLD,$17.34 B
138,ALGN,$17.23 B
139,ABMD,"$17.18 B                                                (Dec. 1, 2022)"
140,RYAAY,"$17.14 B                                                (Dec. 1, 2021)"
141,RPRX,$17.03 B
142,CINF,$16.76 B
143,EXPD,$16.70 B
144,PPD,"$16.58 B                                                (Dec. 1, 2021)"
145,MPWR,$16.32 B
146,SEDG,$16.30 B
147,FOX,$16.27 B
148,FOXA,$16.27 B
149,ICLR,$16.26 B
150,BPY,"$16.00 B                                                (July 1, 2021)"
151,CHKP,$15.90 B
152,FSLR,$15.51 B
153,EXPE,$15.07 B
154,ETSY,$15.00 B
155,FDS,$14.99 B
156,SWKS,$14.80 B
157,TW,$14.66 B
158,ZS,$14.62 B
159,HTHT,$14.56 B
160,LKQ,$14.55 B
161,NLOK,$14.42 B
162,VTRS,$14.37 B
163,FWONA,$14.34 B
164,FWONK,$14.34 B
165,PTC,$14.18 B
166,ZBRA,$13.90 B
167,SPLK,$13.89 B
168,PARA,$13.88 B
169,PARAA,$13.88 B
170,SIVB,$13.75 B
171,LNT,$13.59 B
172,TER,$13.57 B
173,NTAP,$13.47 B
174,NVCR,$13.46 B
175,APA,$13.44 B
176,AKAM,$13.32 B
177,CTXS,"$13.18 B                                                (Sept. 1, 2022)"
178,NDSN,$13.13 B
179,SSNC,$13.12 B
180,UAL,$12.96 B
181,TECH,$12.94 B
182,AZPN,$12.91 B
183,LSXMK,"$12.89 B                                                (Dec. 1, 2022)"
184,LSXMB,"$12.89 B                                                (Dec. 1, 2022)"
185,LSXMA,"$12.89 B                                                (Dec. 1, 2022)"
186,GLPI,$12.83 B
187,ERIE,$12.75 B
188,JKHY,$12.68 B
189,UTHR,$12.43 B
190,DISCK,$12.40 B
191,DISCA,$12.40 B
192,DISCB,$12.40 B
193,TRMB,$12.36 B
194,LBRDA,$12.25 B
195,LBRDK,$12.25 B
196,MDB,$11.92 B
197,MTCH,$11.87 B
198,POOL,$11.83 B
199,NBIX,$11.82 B
200,AXON,$11.76 B
201,CONE,"$11.71 B                                                (March 1, 2022)"
202,UHAL,$11.64 B
203,HST,$11.45 B
204,HSIC,$11.23 B
205,MKTX,$11.22 B
206,WDC,$11.19 B
207,BILI,$11.18 B
208,STX,$11.04 B
209,DOX,$11.00 B
210,CG,$10.95 B
211,FCNCA,$10.88 B
212,DOCU,$10.84 B
213,NWS,$10.80 B
214,NWSA,$10.80 B
215,REG,$10.71 B
216,SRPT,$10.68 B
217,CHRW,$10.59 B
218,XLRN,"$10.56 B                                                (Nov. 1, 2021)"
219,OKTA,$10.51 B
220,ZI,$10.46 B
221,BRKR,$10.45 B
222,LOGI,$10.42 B
223,WYNN,$10.35 B
224,PCTY,$10.22 B
225,PFPT,"$10.16 B                                                (Aug. 1, 2021)"
226,FIVE,$10.12 B
227,JAZZ,$10.04 B
228,BSY,$10.02 B
229,ENTG,$9.94 B
230,BLDR,$9.79 B
231,FLEX,$9.78 B
232,ARCC,$9.63 B
233,LBTYK,$9.44 B
234,LBTYB,$9.44 B
235,LBTYA,$9.44 B
236,EWBC,$9.39 B
237,LAMR,$9.38 B
238,ZNGA,"$9.30 B                                                (May 1, 2022)"
239,CREE,"$9.17 B                                                (May 1, 2022)"
240,QRVO,$9.15 B
241,WSC,$9.13 B
242,MORN,$9.12 B
243,CZR,$9.11 B
244,AAL,$9.08 B
245,CHNG,"$9.03 B                                                (Sept. 1, 2022)"
246,LSCC,$8.85 B
247,IPHI,"$8.79 B                                                (Feb. 18, 2021)"
